회사,CIK,role,주석명,범위,우선도,sub_role_수,element_수,분석_필요
미래에셋생명,00112332,DI817100,보험계약부채(자산) 변동,"원수, 변동표",메인,12,174,Y
미래에셋생명,00112332,DI817105,보험계약부채(자산) 잔액,"원수, 잔액표",보조,12,174,Y
미래에셋생명,00112332,DI817300,보험계약 정보 (CSM 만기분석),"원수, CSM 만기",진단,7,88,Y
미래에셋생명,00112332,DI817305,보험계약 정보 잔액,"원수, 잔액",진단,7,88,Y
미래에셋생명,00112332,DI818100,보험계약 위험관리 (연결),위험관리 정성,2차,8,117,조건부
미래에셋생명,00112332,DI818105,보험계약 위험관리 (별도),위험관리 정성,2차,8,117,조건부
미래에셋생명,00112332,DI818200,위험관리 상세 (연결),위험관리 상세,2차,18,236,조건부
미래에셋생명,00112332,DI818205,위험관리 상세 (별도),위험관리 상세,2차,18,236,조건부
삼성생명,00126256,DI817100,보험계약부채(자산) 변동,"원수, 변동표",메인,3,53,Y
삼성생명,00126256,DI817105,보험계약부채(자산) 잔액,"원수, 잔액표",보조,3,53,Y
삼성생명,00126256,DI817300,보험계약 정보 (CSM 만기분석),"원수, CSM 만기",진단,19,204,Y
삼성생명,00126256,DI817305,보험계약 정보 잔액,"원수, 잔액",진단,19,204,Y
삼성생명,00126256,DI818100,보험계약 위험관리 (연결),위험관리 정성,2차,12,188,조건부
삼성생명,00126256,DI818105,보험계약 위험관리 (별도),위험관리 정성,2차,12,188,조건부
삼성생명,00126256,DI818200,위험관리 상세 (연결),위험관리 상세,2차,14,191,조건부
삼성생명,00126256,DI818205,위험관리 상세 (별도),위험관리 상세,2차,14,186,조건부
한화생명,00113058,DI817100,보험계약부채(자산) 변동,"원수, 변동표",메인,7,79,Y
한화생명,00113058,DI817105,보험계약부채(자산) 잔액,"원수, 잔액표",보조,6,74,Y
한화생명,00113058,DI817300,보험계약 정보 (CSM 만기분석),"원수, CSM 만기",진단,29,289,Y
한화생명,00113058,DI817305,보험계약 정보 잔액,"원수, 잔액",진단,21,217,Y
한화생명,00113058,DI818100,보험계약 위험관리 (연결),위험관리 정성,2차,21,281,조건부
