표준_항목,표준_element_id,period_type,회사,CIK,동일_element_보유,fact_수
보험계약부채(부채분),ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,미래에셋생명,00112332,Y,205
보험계약부채(부채분),ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,삼성생명,00126256,Y,6
보험계약부채(부채분),ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,한화생명,00113058,Y,140
보험계약부채(부채분),ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,동양생명,00117267,Y,6
보험계약부채(부채분),ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,삼성화재,00139214,Y,6
보험계약부채(부채분),ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,현대해상,00164973,Y,17
보험계약부채(부채분),ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,DB손해보험,00159102,Y,38
보험계약부채(부채분),ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,한화손해보험,00135917,Y,44
보험계약부채(부채분),ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,흥국화재,00103176,Y,18
보험계약자산(자산분),ifrs-full_InsuranceContractsIssuedThatAreAssets,instant,미래에셋생명,00112332,N,0
보험계약자산(자산분),ifrs-full_InsuranceContractsIssuedThatAreAssets,instant,삼성생명,00126256,Y,16
보험계약자산(자산분),ifrs-full_InsuranceContractsIssuedThatAreAssets,instant,한화생명,00113058,Y,89
보험계약자산(자산분),ifrs-full_InsuranceContractsIssuedThatAreAssets,instant,동양생명,00117267,N,0
보험계약자산(자산분),ifrs-full_InsuranceContractsIssuedThatAreAssets,instant,삼성화재,00139214,Y,6
보험계약자산(자산분),ifrs-full_InsuranceContractsIssuedThatAreAssets,instant,현대해상,00164973,N,0
보험계약자산(자산분),ifrs-full_InsuranceContractsIssuedThatAreAssets,instant,DB손해보험,00159102,Y,38
보험계약자산(자산분),ifrs-full_InsuranceContractsIssuedThatAreAssets,instant,한화손해보험,00135917,Y,44
보험계약자산(자산분),ifrs-full_InsuranceContractsIssuedThatAreAssets,instant,흥국화재,00103176,Y,18
부채(전체),ifrs-full_Liabilities,instant,미래에셋생명,00112332,Y,54
부채(전체),ifrs-full_Liabilities,instant,삼성생명,00126256,Y,17
부채(전체),ifrs-full_Liabilities,instant,한화생명,00113058,Y,39
