회사,CIK,표준_항목,element_id,period_type,금액_원,금액_억원,기준일,연결별도,출처
미래에셋생명,00112332,보험계약부채,ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,26996698255523.0,269967.0,2025-12-31,별도,axis-min(SeparateMember)
삼성생명,00126256,보험계약부채,ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,202156297000000.0,2021563.0,2025-12-31,별도,axis-min(SeparateMember)
한화생명,00113058,보험계약부채,ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,97152188000000.0,971522.0,2025-12-31,별도,axis-min(SeparateMember)
동양생명,00117267,보험계약부채,ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,28221456000000.0,282215.0,2025-12-31,별도,axis-min(SeparateMember)
삼성화재,00139214,보험계약부채,ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,51620536425094.0,516205.0,2025-12-31,별도,axis-min(SeparateMember)
현대해상,00164973,보험계약부채,ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,34852924404989.0,348529.0,2025-12-31,별도,axis-min(SeparateMember)
DB손해보험,00159102,보험계약부채,ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,31937301000000.0,319373.0,2025-12-31,별도,axis-min(SeparateMember)
한화손해보험,00135917,보험계약부채,ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,15348517755000.0,153485.0,2025-12-31,별도,axis-min(SeparateMember)
흥국화재,00103176,보험계약부채,ifrs-full_InsuranceContractsIssuedThatAreLiabilities,instant,11414733000000.0,114147.0,2025-12-31,별도,axis-min(SeparateMember)
미래에셋생명,00112332,자산,ifrs-full_Assets,instant,33046193024997.0,330462.0,2025-12-31,별도,axis-min(SeparateMember)
삼성생명,00126256,자산,ifrs-full_Assets,instant,309948294000000.0,3099483.0,2025-12-31,별도,axis-min(SeparateMember)
한화생명,00113058,자산,ifrs-full_Assets,instant,125776582000000.0,1257766.0,2025-12-31,별도,axis-min(SeparateMember)
동양생명,00117267,자산,ifrs-full_Assets,instant,35315258000000.0,353153.0,2025-12-31,별도,axis-min(SeparateMember)
삼성화재,00139214,자산,ifrs-full_Assets,instant,93809044479173.0,938090.0,2025-12-31,별도,axis-min(SeparateMember)
현대해상,00164973,자산,ifrs-full_Assets,instant,49645874619981.0,496459.0,2025-12-31,별도,axis-min(SeparateMember)
DB손해보험,00159102,자산,ifrs-full_Assets,instant,59408828000000.0,594088.0,2025-12-31,별도,axis-min(SeparateMember)
한화손해보험,00135917,자산,ifrs-full_Assets,instant,20279051505000.0,202791.0,2025-12-31,별도,axis-min(SeparateMember)
흥국화재,00103176,자산,ifrs-full_Assets,instant,12894689000000.0,128947.0,2025-12-31,별도,axis-min(SeparateMember)
미래에셋생명,00112332,부채,ifrs-full_Liabilities,instant,30418680379437.0,304187.0,2025-12-31,별도,axis-min(SeparateMember)
삼성생명,00126256,부채,ifrs-full_Liabilities,instant,253531479000000.0,2535315.0,2025-12-31,별도,axis-min(SeparateMember)
한화생명,00113058,부채,ifrs-full_Liabilities,instant,113307806000000.0,1133078.0,2025-12-31,별도,axis-min(SeparateMember)
동양생명,00117267,부채,ifrs-full_Liabilities,instant,33781287000000.0,337813.0,2025-12-31,별도,axis-min(SeparateMember)
삼성화재,00139214,부채,ifrs-full_Liabilities,instant,73181267241130.0,731813.0,2025-12-31,별도,axis-min(SeparateMember)
현대해상,00164973,부채,ifrs-full_Liabilities,instant,44762387153459.0,447624.0,2025-12-31,별도,axis-min(SeparateMember)
DB손해보험,00159102,부채,ifrs-full_Liabilities,instant,49553927000000.0,495539.0,2025-12-31,별도,axis-min(SeparateMember)
한화손해보험,00135917,부채,ifrs-full_Liabilities,instant,17558925048000.0,175589.0,2025-12-31,별도,axis-min(SeparateMember)
흥국화재,00103176,부채,ifrs-full_Liabilities,instant,12122030000000.0,121220.0,2025-12-31,별도,axis-min(SeparateMember)
미래에셋생명,00112332,자본,ifrs-full_Equity,instant,3019027063545.0,30190.0,2025-12-31,별도,axis-min(SeparateMember)
삼성생명,00126256,자본,ifrs-full_Equity,instant,56416815000000.0,564168.0,2025-12-31,별도,axis-min(SeparateMember)
한화생명,00113058,자본,ifrs-full_Equity,instant,12468776000000.0,124688.0,2025-12-31,별도,axis-min(SeparateMember)
동양생명,00117267,자본,ifrs-full_Equity,instant,2951747000000.0,29517.0,2025-12-31,별도,axis-min(SeparateMember)
삼성화재,00139214,자본,ifrs-full_Equity,instant,20627777238043.0,206278.0,2025-12-31,별도,axis-min(SeparateMember)
현대해상,00164973,자본,ifrs-full_Equity,instant,6117094533974.0,61171.0,2025-12-31,별도,axis-min(SeparateMember)
DB손해보험,00159102,자본,ifrs-full_Equity,instant,9854901000000.0,98549.0,2025-12-31,별도,axis-min(SeparateMember)
한화손해보험,00135917,자본,ifrs-full_Equity,instant,3405593904000.0,34056.0,2025-12-31,별도,axis-min(SeparateMember)
흥국화재,00103176,자본,ifrs-full_Equity,instant,1368531000000.0,13685.0,2025-12-31,별도,axis-min(SeparateMember)
미래에셋생명,00112332,보험수익,ifrs-full_InsuranceRevenue,duration,1080411547554.0,10804.0,2025-12-31,별도,axis-min(SeparateMember)
삼성생명,00126256,보험수익,ifrs-full_InsuranceRevenue,duration,9618071000000.0,96181.0,2025-12-31,별도,axis-min(SeparateMember)
한화생명,00113058,보험수익,ifrs-full_InsuranceRevenue,duration,5175677000000.0,51757.0,2025-12-31,별도,axis-min(SeparateMember)
동양생명,00117267,보험수익,ifrs-full_InsuranceRevenue,duration,1224494000000.0,12245.0,2025-12-31,별도,axis-min(SeparateMember)
삼성화재,00139214,보험수익,ifrs-full_InsuranceRevenue,duration,18304138688485.0,183041.0,2025-12-31,별도,axis-min(SeparateMember)
현대해상,00164973,보험수익,ifrs-full_InsuranceRevenue,duration,14144825954010.0,141448.0,2025-12-31,별도,axis-min(SeparateMember)
DB손해보험,00159102,보험수익,ifrs-full_InsuranceRevenue,duration,15298366000000.0,152984.0,2025-12-31,별도,axis-min(SeparateMember)
한화손해보험,00135917,보험수익,ifrs-full_InsuranceRevenue,duration,5496026987000.0,54960.0,2025-12-31,별도,axis-min(SeparateMember)
흥국화재,00103176,보험수익,ifrs-full_InsuranceRevenue,duration,2700980000000.0,27010.0,2025-12-31,별도,axis-min(SeparateMember)
미래에셋생명,00112332,보험서비스결과,ifrs-full_InsuranceServiceResult,duration,169000766608.0,1690.0,2025-12-31,별도,axis-min(SeparateMember)
삼성생명,00126256,보험서비스결과,ifrs-full_InsuranceServiceResult,duration,1448544000000.0,14485.0,2025-12-31,별도,axis-min(SeparateMember)
한화생명,00113058,보험서비스결과,ifrs-full_InsuranceServiceResult,duration,650941000000.0,6509.0,2025-12-31,별도,axis-min(SeparateMember)
동양생명,00117267,보험서비스결과,ifrs-full_InsuranceServiceResult,duration,274408000000.0,2744.0,2025-12-31,별도,axis-min(SeparateMember)
삼성화재,00139214,보험서비스결과,ifrs-full_InsuranceServiceResult,duration,1863078758160.0,18631.0,2025-12-31,별도,axis-min(SeparateMember)
현대해상,00164973,보험서비스결과,ifrs-full_InsuranceServiceResult,duration,1043102677049.0,10431.0,2025-12-31,별도,axis-min(SeparateMember)
DB손해보험,00159102,보험서비스결과,ifrs-full_InsuranceServiceResult,duration,1619094000000.0,16191.0,2025-12-31,별도,axis-min(SeparateMember)
한화손해보험,00135917,보험서비스결과,ifrs-full_InsuranceServiceResult,duration,352229723000.0,3522.0,2025-12-31,별도,axis-min(SeparateMember)
흥국화재,00103176,보험서비스결과,ifrs-full_InsuranceServiceResult,duration,308412000000.0,3084.0,2025-12-31,별도,axis-min(SeparateMember)
