회사,CIK,표준_항목,element_substring,period_type,금액_원,금액_억원
미래에셋생명,00112332,기시잔액,InsuranceContractsThatAreLiabilities,instant_prior,21768282285101.0,217683.0
미래에셋생명,00112332,기말잔액,InsuranceContractsThatAreLiabilities,instant_curr,22640202641253.0,226402.0
미래에셋생명,00112332,신계약효과,IncreaseDecreaseThroughEffectsOfContractsInitiallyRecognisedInsuranceContractAssetLiability,duration,,
미래에셋생명,00112332,CSM조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
미래에셋생명,00112332,CSM미조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatDoNotAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
미래에셋생명,00112332,과거서비스_변동,IncreaseDecreaseThroughChangesThatRelateToPastServiceInsuranceContractAssetLiability,duration,,
미래에셋생명,00112332,경험조정,IncreaseDecreaseThroughExperienceAdjustmentsInsuranceContractAssetLiability,duration,,
미래에셋생명,00112332,수취보험료,IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractAssetLiability,duration,,
미래에셋생명,00112332,지급보험금,IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidInsuranceContractAssetLiability,duration,,
미래에셋생명,00112332,보험취득CF,IncreaseDecreaseThroughInsuranceAcquisitionCashFlowsInsuranceContractAssetLiability,duration,,
미래에셋생명,00112332,보험금융손익_PL,InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,-2272778949187.0,-22728.0
미래에셋생명,00112332,기타변동,IncreaseDecreaseThroughOtherChangesLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,duration,0.0,0.0
삼성생명,00126256,기시잔액,InsuranceContractsThatAreLiabilities,instant_prior,202156297000000.0,2021563.0
삼성생명,00126256,기말잔액,InsuranceContractsThatAreLiabilities,instant_curr,200846347000000.0,2008463.0
삼성생명,00126256,신계약효과,IncreaseDecreaseThroughEffectsOfContractsInitiallyRecognisedInsuranceContractAssetLiability,duration,,
삼성생명,00126256,CSM조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
삼성생명,00126256,CSM미조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatDoNotAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
삼성생명,00126256,과거서비스_변동,IncreaseDecreaseThroughChangesThatRelateToPastServiceInsuranceContractAssetLiability,duration,,
삼성생명,00126256,경험조정,IncreaseDecreaseThroughExperienceAdjustmentsInsuranceContractAssetLiability,duration,,
삼성생명,00126256,수취보험료,IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractAssetLiability,duration,,
삼성생명,00126256,지급보험금,IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidInsuranceContractAssetLiability,duration,,
삼성생명,00126256,보험취득CF,IncreaseDecreaseThroughInsuranceAcquisitionCashFlowsInsuranceContractAssetLiability,duration,,
삼성생명,00126256,보험금융손익_PL,InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,4758589000000.0,47586.0
삼성생명,00126256,기타변동,IncreaseDecreaseThroughOtherChangesLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,duration,,
한화생명,00113058,기시잔액,InsuranceContractsThatAreLiabilities,instant_prior,97148152000000.0,971482.0
한화생명,00113058,기말잔액,InsuranceContractsThatAreLiabilities,instant_curr,96930044000000.0,969300.0
한화생명,00113058,신계약효과,IncreaseDecreaseThroughEffectsOfContractsInitiallyRecognisedInsuranceContractAssetLiability,duration,,
한화생명,00113058,CSM조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
한화생명,00113058,CSM미조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatDoNotAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
한화생명,00113058,과거서비스_변동,IncreaseDecreaseThroughChangesThatRelateToPastServiceInsuranceContractAssetLiability,duration,,
한화생명,00113058,경험조정,IncreaseDecreaseThroughExperienceAdjustmentsInsuranceContractAssetLiability,duration,,
한화생명,00113058,수취보험료,IncreaseDecreaseThroughPremiumsReceivedForInsuranceContractAssetLiability,duration,,
한화생명,00113058,지급보험금,IncreaseDecreaseThroughIncurredClaimsPaidAndOtherInsuranceServiceExpensesPaidInsuranceContractAssetLiability,duration,,
한화생명,00113058,보험취득CF,IncreaseDecreaseThroughInsuranceAcquisitionCashFlowsInsuranceContractAssetLiability,duration,,
한화생명,00113058,보험금융손익_PL,InsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedRecognisedInProfitOrLoss,duration,-4359164000000.0,-43592.0
한화생명,00113058,기타변동,IncreaseDecreaseThroughOtherChangesLiabilitiesUnderInsuranceContractsAndReinsuranceContractsIssued,duration,,
동양생명,00117267,기시잔액,InsuranceContractsThatAreLiabilities,instant_prior,28221456000000.0,282215.0
동양생명,00117267,기말잔액,InsuranceContractsThatAreLiabilities,instant_curr,28145079000000.0,281451.0
동양생명,00117267,신계약효과,IncreaseDecreaseThroughEffectsOfContractsInitiallyRecognisedInsuranceContractAssetLiability,duration,,
동양생명,00117267,CSM조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
동양생명,00117267,CSM미조정_추정변동,IncreaseDecreaseThroughChangesInEstimatesThatDoNotAdjustContractualServiceMarginInsuranceContractAssetLiability,duration,,
동양생명,00117267,과거서비스_변동,IncreaseDecreaseThroughChangesThatRelateToPastServiceInsuranceContractAssetLiability,duration,,
