line,미래에셋생명,삼성생명,한화생명,동양생명,삼성화재,현대해상,DB손해보험,한화손해보험,n_life,n_nonlife,n_total
기초잔액,Y,N,Y,N,Y,Y,Y,Y,2,4,6
기초잔액_자산,N,Y,N,N,N,N,N,N,1,0,1
기초잔액_부채,N,Y,N,N,N,N,N,N,1,0,1
보험수익,Y,N,Y,Y,Y,Y,Y,Y,3,4,7
신계약인식,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
CSM조정추정변동,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
CSM미조정추정변동,Y,N,Y,N,Y,Y,N,Y,2,3,5
위험조정변동,Y,N,N,N,N,N,N,N,1,0,1
경험조정,Y,Y,Y,Y,Y,Y,Y,Y,4,4,8
과거서비스변동,Y,N,N,N,N,N,N,N,1,0,1
손실부담계약손실,Y,Y,N,N,N,Y,N,N,2,1,3
발생사고요소조정,Y,N,N,N,N,N,N,N,1,0,1
발생사고비용,Y,N,N,N,N,N,N,N,1,0,1
수취보험료,Y,Y,Y,N,N,Y,Y,Y,3,3,6
지급보험금,Y,N,Y,N,Y,Y,Y,Y,2,4,6
보험취득CF지급,N,N,Y,N,N,Y,Y,Y,1,3,4
보험취득CF상각,N,N,Y,N,N,Y,Y,Y,1,3,4
투자요소,Y,Y,Y,Y,Y,N,Y,N,4,2,6
금융손익_PL,Y,N,N,N,Y,N,N,N,1,1,2
금융손익_OCI,N,N,N,N,N,N,N,N,0,0,0
기타증감,Y,N,N,N,N,N,N,N,1,0,1
