unit,self_label,self_root,삼성생명_status,삼성생명_peer_elem,한화생명_status,한화생명_peer_elem,동양생명_status,동양생명_peer_elem,삼성화재_status,삼성화재_peer_elem,현대해상_status,현대해상_peer_elem,DB손해보험_status,DB손해보험_peer_elem,한화손해보험_status,한화손해보험_peer_elem,흥국화재_status,흥국화재_peer_elem
U01,"회계모형별, 포트폴리오별 보험부채 현황[ 개요 ]",entity00112332_Title20256517565149Abstract,REVIEW,,REVIEW,,WARNING,entity00117267_DescriptionOfThePreparationAndClassificationOfInsuranceLiabilitiesByAccountingModelAndByPortfolio,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,
U02,직접참가특성이 있는 보험계약의 금융위험에 대한 파생상품의 상쇄효과[ 개요 ],entity00112332_Title20257289204290Abstract,WARNING,entity00126256_TheEntitysShareOfTheChangeInTheFairValueOfUnderlyingItemsOrFulfilmentCashFlowsThatDoesNotAdjustTheContractualServiceMarginOfClassesOfInsuranceFinanceIncomeExpensesMemberOfDisclosureOfAnalysisOfInsuranceFinanceIncomeExpensesTableOfMember,REVIEW,,WARNING,entity00117267_DisclosureOfTheAmountNotRecognizedAsAnInsuranceContractMarginForChangesInTheTimeValueOfMoneyAndFinancialRiskMitigationRelatingToInsuranceContractsWithDirectParticipationFeaturesAndTheEntitysShareOfSuchChangesInTheFulfillmentCashFlowsTable,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,
U03,보험계약마진의 기간별 기대수익인식금액[ 개요 ],entity00112332_Title202516161119540Abstract,WARNING,entity00126256_ExpectedPeriodOfRecognitionAsProfitOrLossForExpectedAmortizationPeriodOfContractServiceMarginForReinsuranceContractTable,WARNING,ifrs-full_EffectOnAdjustmentToContractualServiceMarginOfChoiceNotToAdjustContractualServiceMarginForSomeChangesInFulfilmentCashFlowsForContractsWithDirectParticipationFeatures,WARNING,ifrs-full_EffectOnAdjustmentToContractualServiceMarginOfChoiceNotToAdjustContractualServiceMarginForSomeChangesInFulfilmentCashFlowsForContractsWithDirectParticipationFeatures,WARNING,dart_DisclosuresOfTheReconciliationOfTheContractualServiceMarginAndTheAmountOfInsuranceRevenueSeparatelyForContractsUnderTheTransitionApproachesLineItems,WARNING,dart_DisclosuresOfTheReconciliationOfTheContractualServiceMarginAndTheAmountOfInsuranceRevenueSeparatelyForContractsUnderTheTransitionApproachesAbstract,WARNING,entity00159102_IncreaseDecreaseInContractualServiceMarginDueToReasonablyPossibleIncreaseInRiskExposureThatArisesFromContractsWithinScopeOfIfrs17OfDisclosureOfSensitivityAnalysisToChangesInRiskVariablesThatAriseFromContractsWithinScopeOfIfrs17LineItemsOfDisclosureOfSensitivityAnalysisToChangesInRiskExposuresThatAriseFromContractsWithinScopeOfIFRS17TableOfItems,WARNING,entity00135917_IncreaseDecreaseInContractualServiceMarginDueToReasonablyPossibleIncreaseInRiskExposureThatArisesFromContractsWithinScopeOfIfrs17OfDisclosureOfSensitivityAnalysisToChangesInRiskVariablesThatAriseFromContractsWithinScopeOfIfrs17LineItemsOfDisclosureOfSensitivityAnalysisToChangesInRiskExposuresThatAriseFromContractsWithinScopeOfIFRS17TableOfItems,REVIEW,
U04,회사의 투자서비스수익과 보험금융손익[ 개요 ],entity00112332_Title20251616323362Abstract,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,
U05,직접참가특성이 있는 보험계약의 기초항목[ 개요 ],entity00112332_Title202516171838316Abstract,WARNING,entity00126256_ChangesInTheFairValueOfUnderlyingItemsOfInsuranceContractsWithDirectParticipationFeaturesOfClassesOfInsuranceFinanceIncomeExpensesMemberOfDisclosureOfAnalysisOfInsuranceFinanceIncomeExpensesTableOfMember,REVIEW,,WARNING,entity00117267_Title2026217175411632Abstract,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,
U06,보험수익[ 개요 ],entity00112332_Title202516172856136Abstract,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,
U07,계리적가정에 의한 보험부채 변동내역[ 개요 ],entity00112332_ChangesInInsuranceLiabilitiesBasedOnActuarialAssumptionsAbstract,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,,REVIEW,
U08,보험계약부채(자산)의 보험계약 구성요소별 변동분에 대한 차이조정 공시(배당여부별 구분)[ 개요 ],entity00112332_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByComponentsClassificationByDividendStatusAbstract,WARNING,ifrs-full_IncreaseDecreaseThroughEffectsOfContractsAcquiredInPeriodInsuranceContractsLiabilityAsset,WARNING,ifrs-full_IncreaseDecreaseThroughAmortisationOfInsuranceAcquisitionCashFlowsInsuranceContractsLiabilityAsset,WARNING,ifrs-full_IncreaseDecreaseThroughEffectsOfGroupsOfOnerousContractsInitiallyRecognisedInPeriodInsuranceContractsLiabilityAsset,WARNING,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByRemainingCoverageAndIncurredClaimsAbstract,WARNING,ifrs-full_IncreaseDecreaseThroughEffectsOfGroupsOfOnerousContractsInitiallyRecognisedInPeriodInsuranceContractsLiabilityAsset,WARNING,entity00159102_IncreaseDecreaseThroughIncurredClaimsInsuranceContractsLiabilityAssetOfIncreaseDecreaseThroughInsuranceServiceExpensesInsuranceContractsLiabilityAssetOfDisclosureOfReconciliationOfChangesInReinsuranceContractsByRemainingCoverageAndIncurredClaimsTableOfItems,WARNING,entity00135917_IncreaseDecreaseThroughIncurredClaimsInsuranceContractsLiabilityAssetOfIncreaseDecreaseThroughInsuranceServiceExpensesInsuranceContractsLiabilityAssetAbstractOfDisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByRemainingCoverageAndIncurredClaimsTableOfItems,WARNING,ifrs-full_IncreaseDecreaseThroughEffectsOfGroupsOfOnerousContractsInitiallyRecognisedInPeriodInsuranceContractsLiabilityAsset
U09,보험계약부채(자산)의 잔여보장부채 변동분과 발생사고부채 변동분의 차이조정 공시(배당여부별 구분)[ 개요 ],entity00112332_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByRemainingCoverageAndIncurredClaimsClassificationByDividendStatusAbstract,WARNING,ifrs-full_IncreaseDecreaseThroughEffectsOfGroupsOfOnerousContractsInitiallyRecognisedInPeriodInsuranceContractsLiabilityAsset,WARNING,entity00113058_IncreaseDecreaseThroughOtherInsuranceFinanceIncomeOrExpensesInsuranceContractsLiabilityAssetOfDisclosureOfReconciliationOfChangesInReinsuranceContractsByRemainingCoverageAndIncurredClaimsAbstractOfDisclosureOfReconciliationOfChangesInReinsuranceContractsByRemainingCoverageAndIncurredClaimsPremiumAllocationApproachTableOfItems,WARNING,ifrs-full_IncreaseDecreaseThroughEffectsOfContractsInitiallyRecognisedInPeriodInsuranceContractsLiabilityAsset,WARNING,ifrs-full_IncreaseDecreaseThroughEffectsOfGroupsOfOnerousContractsInitiallyRecognisedInPeriodInsuranceContractsLiabilityAsset,WARNING,ifrs-full_IncreaseDecreaseThroughExperienceAdjustmentsInsuranceContractsLiabilityAsset,WARNING,entity00159102_IncreaseDecreaseThroughInvestmentComponentsOtherCashFlowsInsuranceContractsLiabilityAssetOfIncreaseDecreaseThroughCashFlowsInsuranceContractsLiabilityAssetOfDisclosureOfReconciliationOfChangesInReinsuranceContractsByComponentsLifeTableTableOfItems,WARNING,entity00135917_IncreaseDecreaseThroughIncurredClaimsInsuranceContractsLiabilityAssetOfIncreaseDecreaseThroughInsuranceServiceExpensesInsuranceContractsLiabilityAssetAbstractOfDisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByRemainingCoverageAndIncurredClaimsTableOfItems,WARNING,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsLiabilityAssetExplanatory
U10,보험계약부채(자산)의 보험계약 구성요소별 변동분에 대한 차이조정 공시 [개요],dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByComponentsAbstract,PASS,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByComponentsAbstract,PASS,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByComponentsAbstract,PASS,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByComponentsAbstract,PASS,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByComponentsAbstract,PASS,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByComponentsAbstract,PASS,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByComponentsAbstract,PASS,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByComponentsAbstract,WARNING,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByComponentsAbstract
U11,보험계약부채(자산)의 잔여보장부채 변동분과 발생사고부채 변동분의 차이조정 공시 [개요],dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByRemainingCoverageAndIncurredClaimsAbstract,WARNING,ifrs-full_IncreaseDecreaseThroughEffectsOfContractsAcquiredInPeriodInsuranceContractsLiabilityAsset,PASS,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByRemainingCoverageAndIncurredClaimsAbstract,PASS,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByRemainingCoverageAndIncurredClaimsAbstract,PASS,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByRemainingCoverageAndIncurredClaimsAbstract,PASS,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByRemainingCoverageAndIncurredClaimsAbstract,PASS,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByRemainingCoverageAndIncurredClaimsAbstract,PASS,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByRemainingCoverageAndIncurredClaimsAbstract,WARNING,dart_DisclosureOfReconciliationOfChangesInInsuranceContractsIssuedByRemainingCoverageAndIncurredClaimsAbstract
